time_s,voltage_v
0.0,0.01360274
8e-05,0.01340844
0.00016,0.0131514
0.00024,0.0134787
0.00032,0.01393385
0.0004,0.01381059
0.00048,0.01374249
0.00056,0.01383726
0.00064,0.01407845
0.00072,0.014145
0.0008,0.01404541
0.00088,0.01349804
0.00096,0.01332311
0.00104,0.01292361
0.00112,0.01313857
0.0012,0.01340428
0.00128,0.01329852
0.00136,0.01295212
0.00144,0.0120784
0.00152,0.01117162
0.0016,0.0104836
0.00168,0.01005173
0.00176,0.01027914
0.00184,0.01061199
0.00192,0.01034404
0.002,0.009916006
0.00208,0.009789521
0.00216,0.009335538
0.00224,0.008955074
0.00232,0.007830677
0.0024,0.006626268
0.00248,0.006802958
0.00256,0.006764538
0.00264,0.006322078
0.00272,0.005932572
0.0028,0.005431884
0.00288,0.005542271
0.00296,0.005822613
0.00304,0.005327082
0.00312,0.005063889
0.0032,0.004787875
0.00328,0.004725477
0.00336,0.00506559
0.00344,0.004793691
0.00352,0.004109805
0.0036,0.003794364
0.00368,0.00402827
0.00376,0.004100665
0.00384,0.003477028
0.00392,0.00284927
0.004,0.002937458
0.00408,0.003161286
0.00416,0.003158046
0.00424,0.002921687
0.00432,0.002195233
0.0044,0.001921166
0.00448,0.001480449
0.00456,0.001340272
0.00464,0.001289424
0.00472,0.001281723
0.0048,0.0009192183
0.00488,0.000313004
0.00496,0.0002023489
0.00504,-0.000161101
0.00512,-0.0004248295
0.0052,-0.0003316504
0.00528,7.154141e-05
0.00536,0.0003185219
0.00544,0.0003417537
0.00552,0.0004161925
0.0056,0.0004362628
0.00568,0.0002037285
0.00576,-0.0003949117
0.00584,-0.0007001132
0.00592,-0.001091822
0.006,-0.001684317
0.00608,-0.002223741
0.00616,-0.002357673
0.00624,-0.002684538
0.00632,-0.002842594
0.0064,-0.002256856
0.00648,-0.002102059
0.00656,-0.002904468
0.00664,-0.003576816
0.00672,-0.004344261
0.0068,-0.005160124
0.00688,-0.005579168
0.00696,-0.005885892
0.00704,-0.006421781
0.00712,-0.00682308
0.0072,-0.006774823
0.00728,-0.006771813
0.00736,-0.006726038
0.00744,-0.00712669
0.00752,-0.007681963
0.0076,-0.008423691
0.00768,-0.009132254
0.00776,-0.00923303
0.00784,-0.009357682
0.00792,-0.01004416
0.008,-0.01046214
0.00808,-0.01074628
0.00816,-0.01119755
0.00824,-0.0113998
0.00832,-0.01187683
0.0084,-0.01246938
0.00848,-0.01281937
0.00856,-0.01364646
0.00864,-0.01438259
0.00872,-0.01475329
0.0088,-0.01499461
0.00888,-0.01521995
0.00896,-0.0144696
0.00904,-0.01391921
0.00912,-0.01314327
0.0092,-0.01236907
0.00928,-0.01214955
0.00936,-0.012346
0.00944,-0.01250381
0.00952,-0.0125287
0.0096,-0.01318859
0.00968,-0.01354666
0.00976,-0.01302587
0.00984,-0.01230195
0.00992,-0.01237101
0.01,-0.01244905
0.01008,-0.01232135
0.01016,-0.01226513
0.01024,-0.01263707
0.01032,-0.01331145
0.0104,-0.01386828
0.01048,-0.01384928
0.01056,-0.01357357
0.01064,-0.01285485
0.01072,-0.01179751
0.0108,-0.01103594
0.01088,-0.01064031
0.01096,-0.01077754
0.01104,-0.0108021
0.01112,-0.0104675
0.0112,-0.01000836
0.01128,-0.009907308
0.01136,-0.01000598
0.01144,-0.01057852
0.01152,-0.01114285
0.0116,-0.01165237
0.01168,-0.01139497
0.01176,-0.01141052
0.01184,-0.01179261
0.01192,-0.01236909
0.012,-0.01297542
0.01208,-0.01376024
0.01216,-0.01354694
0.01224,-0.0132638
0.01232,-0.01321039
0.0124,-0.01166243
0.01248,-0.01081995
0.01256,-0.01084738
0.01264,-0.01114225
0.01272,-0.01114142
0.0128,-0.01115937
0.01288,-0.01115161
0.01296,-0.01043184
0.01304,-0.01015511
0.01312,-0.01001923
0.0132,-0.009827653
0.01328,-0.01002691
0.01336,-0.01051014
0.01344,-0.01058664
0.01352,-0.01000293
0.0136,-0.009557107
0.01368,-0.009244727
0.01376,-0.008963991
0.01384,-0.009250915
0.01392,-0.008732887
0.014,-0.007544881
0.01408,-0.006671137
0.01416,-0.006015823
0.01424,-0.005969584
0.01432,-0.005988569
0.0144,-0.005728366
0.01448,-0.005240694
0.01456,-0.004495467
0.01464,-0.003991045
0.01472,-0.003704652
0.0148,-0.002968918
0.01488,-0.00228851
0.01496,-0.002563642
0.01504,-0.003311385
0.01512,-0.002988435
0.0152,-0.001696767
0.01528,-0.0008855445
0.01536,-0.000952573
0.01544,-0.0007840744
0.01552,-0.0009891812
0.0156,-0.001486802
0.01568,-0.001784924
0.01576,-0.001168692
0.01584,-0.0006014669
0.01592,0.000384378
0.016,0.001207687
0.01608,0.001873858
0.01616,0.002036771
0.01624,0.001649879
0.01632,0.001617414
0.0164,0.002565964
0.01648,0.003121372
0.01656,0.002918157
0.01664,0.003357421
0.01672,0.004107028
0.0168,0.004382375
0.01688,0.004545425
0.01696,0.004954201
0.01704,0.00545444
0.01712,0.006278796
0.0172,0.006246672
0.01728,0.005912418
0.01736,0.006010387
0.01744,0.006344832
0.01752,0.006967552
0.0176,0.00727848
0.01768,0.007283162
0.01776,0.007367195
0.01784,0.00803431
0.01792,0.008581104
0.018,0.008722521
0.01808,0.008555973
0.01816,0.008264588
0.01824,0.008038845
0.01832,0.007839316
0.0184,0.008187884
0.01848,0.008998789
0.01856,0.01003814
0.01864,0.0105073
0.01872,0.01032175
0.0188,0.01068865
0.01888,0.01147174
0.01896,0.01173102
0.01904,0.01222522
0.01912,0.01293164
0.0192,0.01325973
0.01928,0.01354611
0.01936,0.01386978
0.01944,0.01329559
