time_s,voltage_v
0.0,-0.03411719
0.0002,-0.03398754
0.0004,-0.03353699
0.0006,-0.03345232
0.0008,-0.03406176
0.001,-0.03409195
0.0012,-0.03417147
0.0014,-0.03493495
0.0016,-0.03577128
0.0018,-0.03688067
0.002,-0.03699074
0.0022,-0.03802362
0.0024,-0.03903194
0.0026,-0.0380354
0.0028,-0.03577988
0.003,-0.03383486
0.0032,-0.03266896
0.0034,-0.03269031
0.0036,-0.03192624
0.0038,-0.02882467
0.004,-0.02617711
0.0042,-0.02433497
0.0044,-0.02271405
0.0046,-0.02021055
0.0048,-0.01729314
0.005,-0.01498769
0.0052,-0.01260838
0.0054,-0.01030721
0.0056,-0.008115737
0.0058,-0.006572814
0.006,-0.005095491
0.0062,-0.002432771
0.0064,0.0007867617
0.0066,0.003798307
0.0068,0.006957396
0.007,0.008632401
0.0072,0.01196518
0.0074,0.01526275
0.0076,0.01756301
0.0078,0.01908896
0.008,0.02033349
0.0082,0.0227599
0.0084,0.02369312
0.0086,0.02410712
0.0088,0.02669632
0.009,0.02870276
0.0092,0.03145606
0.0094,0.03306292
0.0096,0.03369858
0.0098,0.03427333
0.01,0.03446442
0.0102,0.03425972
0.0104,0.03492887
0.0106,0.03637628
0.0108,0.0367303
0.011,0.03629318
0.0112,0.03729363
0.0114,0.03794187
0.0116,0.03927509
0.0118,0.03794875
0.012,0.0372972
0.0122,0.03627438
0.0124,0.03566886
0.0126,0.03549635
0.0128,0.03519268
0.013,0.03322145
0.0132,0.03238434
0.0134,0.03109104
0.0136,0.02950778
0.0138,0.02702514
0.014,0.02588313
0.0142,0.0239914
0.0144,0.01964567
0.0146,0.01707896
0.0148,0.01333886
0.015,0.01225462
0.0152,0.01043496
0.0154,0.009036221
0.0156,0.008091613
0.0158,0.006220411
0.016,0.004043575
0.0162,0.001467833
0.0164,3.751156e-05
0.0166,-0.002137482
0.0168,-0.005153513
0.017,-0.007600676
0.0172,-0.009100121
0.0174,-0.0109016
0.0176,-0.01399203
0.0178,-0.01627495
0.018,-0.01798292
0.0182,-0.02053502
0.0184,-0.02392405
0.0186,-0.02609583
0.0188,-0.02808808
0.019,-0.03116553
0.0192,-0.03182791
0.0194,-0.03474783
0.0196,-0.03594487
0.0198,-0.03687293
0.02,-0.03748129
0.0202,-0.03880736
0.0204,-0.04068341
0.0206,-0.04137334
0.0208,-0.0418408
0.021,-0.04177222
0.0212,-0.04118293
0.0214,-0.03997021
0.0216,-0.03959224
0.0218,-0.04007594
0.022,-0.03849052
0.0222,-0.03852482
0.0224,-0.03915757
0.0226,-0.03658817
0.0228,-0.03449062
0.023,-0.03278963
0.0232,-0.03075757
0.0234,-0.02854106
0.0236,-0.02657598
0.0238,-0.02615999
0.024,-0.02397307
0.0242,-0.02110751
0.0244,-0.01897596
0.0246,-0.01645686
0.0248,-0.0133874
0.025,-0.01025267
0.0252,-0.006994684
0.0254,-0.005948272
0.0256,-0.004568409
0.0258,-0.002588722
0.026,-0.0004047262
0.0262,0.002586159
0.0264,0.005528327
0.0266,0.006897517
0.0268,0.008318532
0.027,0.01106437
0.0272,0.01388573
0.0274,0.01742312
0.0276,0.02000812
0.0278,0.02047374
0.028,0.02081911
0.0282,0.0219611
0.0284,0.02427947
0.0286,0.0265147
0.0288,0.0286331
0.029,0.0320271
0.0292,0.03252776
0.0294,0.03279085
0.0296,0.03533291
0.0298,0.03555388
0.03,0.03520152
0.0302,0.03648704
0.0304,0.03717324
0.0306,0.0388125
0.0308,0.04038635
0.031,0.03982953
0.0312,0.03974473
0.0314,0.0396476
0.0316,0.03899358
0.0318,0.03752005
0.032,0.03662047
0.0322,0.03694555
0.0324,0.03875563
0.0326,0.03923955
0.0328,0.03662863
0.033,0.03299457
0.0332,0.03129846
0.0334,0.03027669
0.0336,0.02793462
0.0338,0.02618741
0.034,0.02533129
0.0342,0.02182848
0.0344,0.01854885
0.0346,0.01785777
0.0348,0.0169148
0.035,0.01589165
0.0352,0.01397814
0.0354,0.01038431
0.0356,0.006775142
0.0358,0.005348484
0.036,0.002846495
0.0362,-0.0008563357
0.0364,-0.004061757
0.0366,-0.005589721
0.0368,-0.00455592
0.037,-0.006269005
0.0372,-0.01044524
0.0374,-0.01233733
0.0376,-0.01368379
0.0378,-0.01697029
0.038,-0.02057016
0.0382,-0.02303512
0.0384,-0.02512902
0.0386,-0.02763055
0.0388,-0.02939274
0.039,-0.03084911
0.0392,-0.03044817
0.0394,-0.03254173
0.0396,-0.03387039
0.0398,-0.03345408
0.04,-0.03534524
0.0402,-0.03574615
0.0404,-0.03604495
0.0406,-0.0383857
0.0408,-0.03986906
0.041,-0.03963283
0.0412,-0.03959057
0.0414,-0.03948863
0.0416,-0.0384398
0.0418,-0.03849805
0.042,-0.04003076
0.0422,-0.0418466
0.0424,-0.04109765
0.0426,-0.03882867
0.0428,-0.03697845
0.043,-0.03644034
0.0432,-0.03467451
0.0434,-0.03147864
0.0436,-0.02860391
0.0438,-0.02761263
0.044,-0.0261219
0.0442,-0.02419627
0.0444,-0.02080202
0.0446,-0.01839599
0.0448,-0.01631199
0.045,-0.01549991
0.0452,-0.01467692
0.0454,-0.01290298
0.0456,-0.01088362
0.0458,-0.00880996
0.046,-0.006632679
0.0462,-0.003762841
0.0464,0.0001018811
0.0466,0.003893283
0.0468,0.006243353
0.047,0.007612744
0.0472,0.009999895
0.0474,0.01257717
0.0476,0.01399135
0.0478,0.01549255
0.048,0.01783194
0.0482,0.01992993
0.0484,0.02213588
0.0486,0.02580229
0.0488,0.02813864
0.049,0.02974484
0.0492,0.03124212
0.0494,0.03402223
0.0496,0.03491486
0.0498,0.0346639
0.05,0.03738886
0.0502,0.03883522
0.0504,0.03900612
0.0506,0.03947321
0.0508,0.03939971
0.051,0.04024508
0.0512,0.03965859
0.0514,0.03916512
0.0516,0.03945276
0.0518,0.03943924
0.052,0.03755771
0.0522,0.03686253
0.0524,0.03653979
0.0526,0.03548599
0.0528,0.03466118
0.053,0.03322225
0.0532,0.03071753
0.0534,0.02766993
0.0536,0.02675484
0.0538,0.02556554
0.054,0.02344573
0.0542,0.02179916
0.0544,0.0203606
0.0546,0.01869716
0.0548,0.01503451
0.055,0.01225187
0.0552,0.01173831
0.0554,0.0102916
0.0556,0.009739648
0.0558,0.006010538
0.056,0.0030111
0.0562,0.0008781922
0.0564,-0.002582109
0.0566,-0.006573175
0.0568,-0.01088382
0.057,-0.01349625
0.0572,-0.01509585
0.0574,-0.01673572
0.0576,-0.02021948
0.0578,-0.02281113
0.058,-0.02473718
0.0582,-0.02660754
0.0584,-0.0273453
0.0586,-0.02926769
0.0588,-0.03137752
0.059,-0.0323576
0.0592,-0.03270808
0.0594,-0.03206074
0.0596,-0.03293008
0.0598,-0.03391713
0.06,-0.03487258
0.0602,-0.03637641
0.0604,-0.03620016
0.0606,-0.03785939
0.0608,-0.03801747
0.061,-0.0370064
0.0612,-0.03633473
0.0614,-0.03749298
0.0616,-0.03620455
0.0618,-0.03593076
0.062,-0.03690388
0.0622,-0.03794233
0.0624,-0.03781312
0.0626,-0.03721212
0.0628,-0.03614806
0.063,-0.03375047
0.0632,-0.03105572
0.0634,-0.02900493
0.0636,-0.02926593
0.0638,-0.02824599
0.064,-0.02591652
0.0642,-0.02408049
0.0644,-0.02231308
0.0646,-0.02022875
0.0648,-0.01653221
0.065,-0.01356304
0.0652,-0.01187549
0.0654,-0.009484923
0.0656,-0.008056089
0.0658,-0.005653481
0.066,-0.004114461
0.0662,-0.002842846
0.0664,0.0005641301
0.0666,0.004759113
0.0668,0.006085001
0.067,0.007712783
0.0672,0.01171906
0.0674,0.01444238
0.0676,0.01635613
0.0678,0.01871481
0.068,0.02191355
0.0682,0.02486823
0.0684,0.02724407
0.0686,0.02856508
0.0688,0.03063623
0.069,0.03302403
0.0692,0.03501213
0.0694,0.03631769
0.0696,0.03801467
0.0698,0.04004882
0.07,0.03894649
0.0702,0.03814309
0.0704,0.03892931
0.0706,0.0392785
0.0708,0.0401266
0.071,0.04072208
0.0712,0.03892827
0.0714,0.038752
0.0716,0.03864797
0.0718,0.03797829
0.072,0.03806178
0.0722,0.03886703
0.0724,0.03846574
0.0726,0.03738528
0.0728,0.03652617
0.073,0.03584438
0.0732,0.03346545
0.0734,0.03102459
0.0736,0.02801664
0.0738,0.02347748
0.074,0.02183558
0.0742,0.02091546
0.0744,0.01797427
0.0746,0.01596349
0.0748,0.01488665
0.075,0.01363948
0.0752,0.01075127
0.0754,0.007980778
0.0756,0.00492979
0.0758,0.002647747
0.076,0.0005770974
0.0762,-0.0005805869
0.0764,-0.003251088
0.0766,-0.005892069
0.0768,-0.007642161
0.077,-0.01084823
0.0772,-0.01247389
0.0774,-0.01447724
0.0776,-0.01703864
0.0778,-0.01839782
0.078,-0.02054654
0.0782,-0.02353907
0.0784,-0.02466119
0.0786,-0.02588051
0.0788,-0.02895382
0.079,-0.03133266
0.0792,-0.03217921
0.0794,-0.03352432
0.0796,-0.03379123
0.0798,-0.03379479
0.08,-0.0341661
0.0802,-0.03625571
0.0804,-0.03766344
0.0806,-0.03774828
0.0808,-0.03686833
0.081,-0.03565487
0.0812,-0.03568193
0.0814,-0.03663218
0.0816,-0.03672681
0.0818,-0.03709842
0.082,-0.03658653
0.0822,-0.03609876
0.0824,-0.03560683
0.0826,-0.03419198
0.0828,-0.03304248
0.083,-0.03219329
0.0832,-0.03229591
0.0834,-0.03098451
0.0836,-0.02856943
0.0838,-0.02712555
0.084,-0.02409189
0.0842,-0.02131587
0.0844,-0.0190607
0.0846,-0.01598358
0.0848,-0.01496627
0.085,-0.01402183
0.0852,-0.0124169
0.0854,-0.009101871
0.0856,-0.007597674
0.0858,-0.005437348
0.086,-0.001700372
0.0862,0.001283544
0.0864,0.0052026
0.0866,0.006914959
0.0868,0.006834649
0.087,0.008767948
0.0872,0.01193977
0.0874,0.01502892
0.0876,0.01762093
0.0878,0.01967068
0.088,0.02160726
0.0882,0.0228195
0.0884,0.02534426
0.0886,0.02727378
0.0888,0.02978548
0.089,0.03090697
0.0892,0.03255822
0.0894,0.034467
0.0896,0.03562854
0.0898,0.03626672
0.09,0.0369995
0.0902,0.03753263
0.0904,0.03709845
0.0906,0.03748485
0.0908,0.03829873
0.091,0.03834404
0.0912,0.0390861
0.0914,0.03998836
0.0916,0.03889146
0.0918,0.03844135
0.092,0.03761195
0.0922,0.03736029
0.0924,0.03673665
0.0926,0.03467758
0.0928,0.03361357
0.093,0.03289158
0.0932,0.03283957
0.0934,0.03223749
0.0936,0.03063495
0.0938,0.02907427
0.094,0.0265773
0.0942,0.02299199
0.0944,0.0188591
0.0946,0.01713958
0.0948,0.01613976
0.095,0.01409239
0.0952,0.01179254
0.0954,0.01079407
0.0956,0.009412633
0.0958,0.005965241
0.096,0.00273179
0.0962,0.000383641
0.0964,-0.0002196728
0.0966,-0.003148077
0.0968,-0.006851153
0.097,-0.008934279
0.0972,-0.01083353
0.0974,-0.01341537
0.0976,-0.01581021
0.0978,-0.01856363
0.098,-0.02030419
0.0982,-0.02309122
0.0984,-0.02650549
0.0986,-0.02950528
0.0988,-0.03011932
0.099,-0.03279938
0.0992,-0.03537583
0.0994,-0.03541061
0.0996,-0.0363535
0.0998,-0.03628686
0.1,-0.03684829
0.1002,-0.03711043
0.1004,-0.03732029
0.1006,-0.03911889
0.1008,-0.03859305
0.101,-0.03857844
0.1012,-0.03729969
0.1014,-0.03631565
0.1016,-0.03493091
0.1018,-0.03494782
0.102,-0.03608109
0.1022,-0.03654489
0.1024,-0.03640528
0.1026,-0.03469251
0.1028,-0.0335489
0.103,-0.03078962
0.1032,-0.02847731
0.1034,-0.02764863
0.1036,-0.02724314
0.1038,-0.02495072
0.104,-0.02133128
0.1042,-0.01900608
0.1044,-0.01734751
0.1046,-0.01493935
0.1048,-0.01281819
0.105,-0.0107841
0.1052,-0.0095847
0.1054,-0.008394227
0.1056,-0.006389449
0.1058,-0.004152374
0.106,-0.0005904752
0.1062,-0.0004452615
0.1064,0.002021317
0.1066,0.005251221
0.1068,0.007509415
0.107,0.01016367
0.1072,0.01291847
0.1074,0.01639135
0.1076,0.01917401
0.1078,0.02180591
0.108,0.02517446
0.1082,0.02683243
0.1084,0.02777923
0.1086,0.03033072
0.1088,0.03123837
0.109,0.03171045
0.1092,0.03292813
0.1094,0.0336928
0.1096,0.03360315
0.1098,0.03368981
0.11,0.03531683
0.1102,0.03757557
0.1104,0.03677525
0.1106,0.03647112
0.1108,0.03755103
0.111,0.03806341
0.1112,0.03749932
0.1114,0.03849035
0.1116,0.03875874
0.1118,0.03683008
0.112,0.03548958
0.1122,0.0368827
0.1124,0.03744623
0.1126,0.03500301
0.1128,0.03250031
0.113,0.02994959
0.1132,0.02823707
0.1134,0.02621601
0.1136,0.02472882
0.1138,0.0239851
0.114,0.02226046
0.1142,0.01966958
0.1144,0.01925155
0.1146,0.01789039
0.1148,0.01483967
0.115,0.0115113
0.1152,0.008847968
0.1154,0.005520056
0.1156,0.004830483
0.1158,0.002608916
0.116,-0.0006307389
0.1162,-0.003593973
0.1164,-0.00644311
0.1166,-0.008206666
0.1168,-0.009445774
0.117,-0.01035505
0.1172,-0.01255245
0.1174,-0.01517574
0.1176,-0.0181836
0.1178,-0.02276121
0.118,-0.02486324
0.1182,-0.02604152
0.1184,-0.02699324
0.1186,-0.0279073
0.1188,-0.02789685
0.119,-0.02942567
0.1192,-0.03122512
0.1194,-0.03341809
0.1196,-0.03454497
0.1198,-0.03373003
0.12,-0.03308295
0.1202,-0.03451081
0.1204,-0.03619864
0.1206,-0.03650251
0.1208,-0.03709369
0.121,-0.0367563
0.1212,-0.03653672
0.1214,-0.03707106
0.1216,-0.03580999
0.1218,-0.03473344
0.122,-0.03479332
0.1222,-0.03349493
0.1224,-0.0342218
0.1226,-0.03420373
0.1228,-0.03370881
0.123,-0.03288804
0.1232,-0.03165694
0.1234,-0.02953319
0.1236,-0.02768144
0.1238,-0.02669708
0.124,-0.02499457
0.1242,-0.0220118
0.1244,-0.02045286
0.1246,-0.01923375
0.1248,-0.01599432
0.125,-0.01537452
0.1252,-0.01187882
0.1254,-0.008787579
0.1256,-0.007632139
0.1258,-0.005563349
0.126,-0.00212795
0.1262,0.00173435
0.1264,0.004387695
0.1266,0.006313815
0.1268,0.007853277
0.127,0.01032355
0.1272,0.01243341
0.1274,0.01600128
0.1276,0.01766263
0.1278,0.01871173
0.128,0.02147287
0.1282,0.0244022
0.1284,0.02427585
0.1286,0.02547632
0.1288,0.02772363
0.129,0.0289451
0.1292,0.03008503
0.1294,0.03188938
0.1296,0.0328535
0.1298,0.03374111
0.13,0.03527622
0.1302,0.03580986
0.1304,0.03609089
0.1306,0.03712916
0.1308,0.03738797
0.131,0.03646193
0.1312,0.03484573
0.1314,0.03492022
0.1316,0.03505283
0.1318,0.03565122
0.132,0.03437252
0.1322,0.03460482
0.1324,0.03584551
0.1326,0.03531118
0.1328,0.03517024
0.133,0.03336609
0.1332,0.03116591
0.1334,0.02992585
0.1336,0.02866975
0.1338,0.0265746
0.134,0.02343004
0.1342,0.0199512
0.1344,0.0186147
0.1346,0.01577899
0.1348,0.01435568
0.135,0.01407992
0.1352,0.01217723
0.1354,0.01037125
0.1356,0.007885198
0.1358,0.00556353
0.136,0.002791874
0.1362,0.0008379953
0.1364,-0.002373379
0.1366,-0.005692591
0.1368,-0.007701751
0.137,-0.01073675
0.1372,-0.0128726
0.1374,-0.01471116
0.1376,-0.01672423
0.1378,-0.01856226
0.138,-0.02064257
0.1382,-0.02428143
0.1384,-0.0267675
0.1386,-0.02816828
0.1388,-0.03020594
0.139,-0.03087533
0.1392,-0.03099614
0.1394,-0.03133226
0.1396,-0.03211234
0.1398,-0.03293855
0.14,-0.03248228
0.1402,-0.0337866
0.1404,-0.03582228
0.1406,-0.03710949
0.1408,-0.03726568
0.141,-0.03818775
0.1412,-0.03903913
0.1414,-0.03706525
0.1416,-0.03578384
0.1418,-0.03589391
0.142,-0.03669045
0.1422,-0.03736725
0.1424,-0.03670818
0.1426,-0.03643859
0.1428,-0.03602194
0.143,-0.0335539
0.1432,-0.0308927
0.1434,-0.02937745
0.1436,-0.02682508
0.1438,-0.02366202
0.144,-0.02051364
0.1442,-0.01844989
0.1444,-0.01570274
0.1446,-0.01443529
0.1448,-0.01403361
0.145,-0.01288476
0.1452,-0.009830337
0.1454,-0.006044225
0.1456,-0.00534166
0.1458,-0.003522314
0.146,-0.00159633
0.1462,0.0002445366
0.1464,0.00255298
0.1466,0.006403713
0.1468,0.009417012
0.147,0.01115855
0.1472,0.01344218
0.1474,0.0156613
0.1476,0.01709531
0.1478,0.01893913
0.148,0.02033091
0.1482,0.0220206
0.1484,0.02346189
0.1486,0.02551328
0.1488,0.02813756
0.149,0.02836888
0.1492,0.02858326
0.1494,0.02975219
0.1496,0.03162978
0.1498,0.03381162
0.15,0.03614251
0.1502,0.03567404
0.1504,0.03591873
0.1506,0.03449183
0.1508,0.03362558
0.151,0.03346159
0.1512,0.03371
0.1514,0.03496481
0.1516,0.03434671
0.1518,0.03543438
0.152,0.03667489
0.1522,0.03716502
0.1524,0.03659908
0.1526,0.03424543
0.1528,0.03224495
0.153,0.03057424
0.1532,0.02979217
0.1534,0.02885155
0.1536,0.02811076
0.1538,0.02590037
0.154,0.02263696
0.1542,0.01970482
0.1544,0.01745544
0.1546,0.01718254
0.1548,0.01580156
0.155,0.01392084
0.1552,0.01217646
0.1554,0.009807173
0.1556,0.008143716
0.1558,0.006548561
0.156,0.003521154
0.1562,-0.001050119
0.1564,-0.003892886
0.1566,-0.006672285
0.1568,-0.008782526
0.157,-0.0115749
0.1572,-0.01389446
0.1574,-0.0146245
0.1576,-0.01750331
0.1578,-0.0192763
0.158,-0.01953437
0.1582,-0.02087265
0.1584,-0.02238911
0.1586,-0.0233056
0.1588,-0.0249725
0.159,-0.02719698
0.1592,-0.02803954
0.1594,-0.02874893
0.1596,-0.03039494
0.1598,-0.03097773
0.16,-0.0310105
0.1602,-0.03195491
0.1604,-0.03231903
0.1606,-0.03213888
0.1608,-0.03267404
0.161,-0.033708
0.1612,-0.03379742
0.1614,-0.0337673
0.1616,-0.03330909
0.1618,-0.03407172
0.162,-0.03529028
0.1622,-0.03650092
0.1624,-0.03582704
0.1626,-0.03399314
0.1628,-0.03264838
0.163,-0.03052339
0.1632,-0.02749001
0.1634,-0.02550444
0.1636,-0.02513881
0.1638,-0.02483174
0.164,-0.02354233
0.1642,-0.0215066
0.1644,-0.01994411
0.1646,-0.01832204
0.1648,-0.01547718
0.165,-0.01260634
0.1652,-0.01082909
0.1654,-0.009497442
0.1656,-0.006599751
0.1658,-0.004107513
0.166,-0.0008442664
0.1662,0.002030906
0.1664,0.003946313
0.1666,0.005161002
0.1668,0.007280543
0.167,0.009711673
0.1672,0.01290946
0.1674,0.0173531
0.1676,0.01820016
0.1678,0.0189278
0.168,0.01989138
0.1682,0.02261763
0.1684,0.02536221
0.1686,0.02660288
0.1688,0.02777129
0.169,0.03004605
0.1692,0.03134195
0.1694,0.03218805
0.1696,0.03162212
0.1698,0.03171457
0.17,0.03298142
0.1702,0.03353366
0.1704,0.03388106
0.1706,0.03440939
0.1708,0.03525738
0.171,0.03472387
0.1712,0.03415766
0.1714,0.03412145
0.1716,0.03373251
0.1718,0.03335724
0.172,0.03482534
0.1722,0.03610254
0.1724,0.03626219
0.1726,0.0341745
0.1728,0.03247452
0.173,0.03140191
0.1732,0.03073259
0.1734,0.02873086
0.1736,0.02707166
0.1738,0.02483501
0.174,0.02240647
0.1742,0.01950611
0.1744,0.01635004
0.1746,0.01450175
0.1748,0.01325164
0.175,0.01185072
0.1752,0.01008821
0.1754,0.008120042
0.1756,0.005650254
0.1758,0.005226173
0.176,0.00387795
0.1762,0.000386473
0.1764,-0.00257332
0.1766,-0.003700402
0.1768,-0.005953304
0.177,-0.007000416
0.1772,-0.008258613
0.1774,-0.01177917
0.1776,-0.0151221
0.1778,-0.01747459
0.178,-0.02020996
0.1782,-0.02304729
0.1784,-0.02502782
0.1786,-0.02726352
0.1788,-0.02944922
0.179,-0.03189726
0.1792,-0.0335357
0.1794,-0.03391454
0.1796,-0.03369389
0.1798,-0.03367831
0.18,-0.03526925
0.1802,-0.03563169
0.1804,-0.03651154
0.1806,-0.03667428
0.1808,-0.03672358
0.181,-0.03602565
0.1812,-0.0345519
0.1814,-0.03356418
0.1816,-0.0328677
0.1818,-0.03287511
0.182,-0.03386855
0.1822,-0.03483702
0.1824,-0.03288111
0.1826,-0.02962952
0.1828,-0.02910572
0.183,-0.0287155
0.1832,-0.02565434
0.1834,-0.02392001
0.1836,-0.02411218
0.1838,-0.02416061
0.184,-0.02106847
0.1842,-0.01951771
0.1844,-0.01698856
0.1846,-0.0133808
0.1848,-0.01050085
0.185,-0.007979332
0.1852,-0.006562166
0.1854,-0.006240856
0.1856,-0.007212681
0.1858,-0.004395664
0.186,-0.000375485
0.1862,0.001775705
0.1864,0.004480313
0.1866,0.009103798
0.1868,0.01174427
0.187,0.01341783
0.1872,0.01663181
0.1874,0.01980564
0.1876,0.022545
0.1878,0.02417619
0.188,0.02657865
0.1882,0.02628641
0.1884,0.02631567
0.1886,0.02823178
0.1888,0.0283398
0.189,0.02799549
0.1892,0.02985262
0.1894,0.03292869
0.1896,0.03238052
0.1898,0.0315276
0.19,0.03078554
0.1902,0.03131005
0.1904,0.03255717
0.1906,0.03307139
0.1908,0.03376693
0.191,0.03362941
0.1912,0.0336979
0.1914,0.03493595
0.1916,0.03431255
0.1918,0.03249513
0.192,0.03205516
0.1922,0.03205149
0.1924,0.03296047
0.1926,0.03175623
0.1928,0.03022871
0.193,0.02864977
0.1932,0.02626264
0.1934,0.02205504
0.1936,0.02009558
0.1938,0.01949091
0.194,0.01780467
0.1942,0.01613683
0.1944,0.01340461
0.1946,0.01083054
0.1948,0.007992906
0.195,0.007573132
0.1952,0.006299972
0.1954,0.004316019
0.1956,0.004432584
0.1958,0.003874553
0.196,0.002726433
0.1962,-8.449802e-05
0.1964,-0.001865821
0.1966,-0.004480001
0.1968,-0.007659914
0.197,-0.009188405
0.1972,-0.01112441
0.1974,-0.01434864
0.1976,-0.01692165
0.1978,-0.01842985
0.198,-0.01971878
0.1982,-0.01991175
0.1984,-0.01982407
0.1986,-0.02182054
0.1988,-0.02433285
0.199,-0.02726582
0.1992,-0.02854159
0.1994,-0.02828695
0.1996,-0.02851616
0.1998,-0.02973272
0.2,-0.02998016
0.2002,-0.03226644
0.2004,-0.03334839
0.2006,-0.03371226
0.2008,-0.03375397
0.201,-0.03303795
0.2012,-0.03250679
0.2014,-0.03362058
0.2016,-0.03463166
0.2018,-0.03423738
0.202,-0.03228915
0.2022,-0.0326211
0.2024,-0.0335765
0.2026,-0.03246906
0.2028,-0.03097397
0.203,-0.02887697
0.2032,-0.02719757
0.2034,-0.02584287
0.2036,-0.02550049
0.2038,-0.02454481
0.204,-0.02150553
0.2042,-0.02011594
0.2044,-0.01935739
0.2046,-0.01666666
0.2048,-0.01199552
0.205,-0.008958746
0.2052,-0.006864772
0.2054,-0.00589956
0.2056,-0.005252624
0.2058,-0.003501665
0.206,-0.001372271
0.2062,0.00188023
0.2064,0.004570332
0.2066,0.005395727
0.2068,0.006733925
0.207,0.008353249
0.2072,0.01048216
0.2074,0.01356722
0.2076,0.01544998
0.2078,0.01680853
0.208,0.01926372
0.2082,0.02058088
0.2084,0.02058823
0.2086,0.02184495
0.2088,0.02358286
0.209,0.02394043
0.2092,0.0255134
0.2094,0.02762145
0.2096,0.02930329
0.2098,0.02970995
0.21,0.03149337
0.2102,0.03269513
0.2104,0.03411801
0.2106,0.03506207
0.2108,0.03477966
0.211,0.03515092
0.2112,0.03633656
0.2114,0.03517475
0.2116,0.03528633
0.2118,0.03554326
0.212,0.03572173
0.2122,0.035139
0.2124,0.03356064
0.2126,0.03139595
0.2128,0.03040726
0.213,0.02840797
0.2132,0.02528037
0.2134,0.0237279
0.2136,0.02209303
0.2138,0.02112006
0.214,0.01831893
0.2142,0.01572098
0.2144,0.01437697
0.2146,0.01363349
0.2148,0.01242447
0.215,0.01189
0.2152,0.009639973
0.2154,0.007173502
0.2156,0.004559224
0.2158,0.003015803
0.216,0.0005865294
0.2162,-0.001965306
0.2164,-0.005395411
0.2166,-0.008683482
0.2168,-0.01061875
0.217,-0.0130293
0.2172,-0.01551213
0.2174,-0.0175273
0.2176,-0.01952284
0.2178,-0.02110177
0.218,-0.02128851
0.2182,-0.02307975
0.2184,-0.02297072
0.2186,-0.02476546
0.2188,-0.02692985
0.219,-0.02588958
0.2192,-0.02688815
0.2194,-0.02817378
0.2196,-0.02970272
0.2198,-0.03202077
0.22,-0.03263853
0.2202,-0.03181047
0.2204,-0.03161773
0.2206,-0.03118988
0.2208,-0.03052916
0.221,-0.02996374
0.2212,-0.0306641
0.2214,-0.03024575
0.2216,-0.03182743
0.2218,-0.03228923
0.222,-0.030955
0.2222,-0.03077489
0.2224,-0.03145776
0.2226,-0.03191047
0.2228,-0.03012741
0.223,-0.03012515
0.2232,-0.02882122
0.2234,-0.02731544
0.2236,-0.02632785
0.2238,-0.02399476
0.224,-0.02065306
0.2242,-0.01646728
0.2244,-0.01293741
0.2246,-0.01003245
0.2248,-0.007700223
0.225,-0.006818791
0.2252,-0.007920026
0.2254,-0.009381782
0.2256,-0.01138672
0.2258,-0.01277863
0.226,-0.0112496
0.2262,-0.007896631
0.2264,-0.004036483
0.2266,0.0001602553
0.2268,0.004426281
0.227,0.0082641
0.2272,0.009997749
0.2274,0.0102742
0.2276,0.01119485
0.2278,0.0137613
0.228,0.01781403
0.2282,0.02129764
0.2284,0.02331233
0.2286,0.02541849
0.2288,0.02839391
0.229,0.0287728
0.2292,0.02814688
0.2294,0.02730099
0.2296,0.02783388
0.2298,0.02873956
0.23,0.03059117
0.2302,0.03136474
0.2304,0.03127646
0.2306,0.03171268
0.2308,0.03438417
0.231,0.03637454
0.2312,0.03688508
0.2314,0.03739279
0.2316,0.0382366
0.2318,0.03945021
0.232,0.03853111
0.2322,0.03860463
0.2324,0.03927331
0.2326,0.03761705
0.2328,0.03647086
0.233,0.03415501
0.2332,0.03133123
0.2334,0.02838668
0.2336,0.0261103
0.2338,0.02341369
0.234,0.02132077
0.2342,0.02030262
0.2344,0.0186153
0.2346,0.01754044
0.2348,0.01296381
0.235,0.009875701
0.2352,0.008749207
0.2354,0.007810604
0.2356,0.006719928
0.2358,0.0048174
0.236,0.002660001
0.2362,-3.623246e-05
0.2364,-0.002349235
0.2366,-0.004846955
0.2368,-0.00751478
0.237,-0.008221976
0.2372,-0.01137407
0.2374,-0.01543176
0.2376,-0.01695993
0.2378,-0.01884351
0.238,-0.02016787
0.2382,-0.02077552
0.2384,-0.02224483
0.2386,-0.02380168
0.2388,-0.02449026
0.239,-0.02626256
0.2392,-0.02719981
0.2394,-0.02767764
0.2396,-0.02911603
0.2398,-0.0313597
0.24,-0.03391431
0.2402,-0.03490208
0.2404,-0.03388793
0.2406,-0.03351998
0.2408,-0.03394314
0.241,-0.03401932
0.2412,-0.03532333
0.2414,-0.03443986
0.2416,-0.03478538
