time_s,voltage_v
0.0,-0.02352136
0.0002,-0.02382402
0.0004,-0.02247043
0.0006,-0.0215989
0.0008,-0.0200151
0.001,-0.018292
0.0012,-0.01699772
0.0014,-0.01646941
0.0016,-0.0159427
0.0018,-0.0146985
0.002,-0.01476972
0.0022,-0.01433628
0.0024,-0.01262868
0.0026,-0.01107507
0.0028,-0.009384559
0.003,-0.007079723
0.0032,-0.006235978
0.0034,-0.004309402
0.0036,-0.0004699129
0.0038,0.001092616
0.004,0.001934206
0.0042,0.002813098
0.0044,0.006798763
0.0046,0.008200396
0.0048,0.01016005
0.005,0.0128654
0.0052,0.01278418
0.0054,0.01334928
0.0056,0.01359967
0.0058,0.01557435
0.006,0.01612687
0.0062,0.01657364
0.0064,0.01768856
0.0066,0.01969507
0.0068,0.02028287
0.007,0.02050177
0.0072,0.02204889
0.0074,0.02392172
0.0076,0.02610162
0.0078,0.02710352
0.008,0.02552877
0.0082,0.02543678
0.0084,0.02649127
0.0086,0.02731453
0.0088,0.02658573
0.009,0.02485237
0.0092,0.02417057
0.0094,0.0238951
0.0096,0.02411398
0.0098,0.02298227
0.01,0.02354559
0.0102,0.02171516
0.0104,0.02109626
0.0106,0.02156889
0.0108,0.021615
0.011,0.02101451
0.0112,0.01913429
0.0114,0.01977021
0.0116,0.01765833
0.0118,0.01618248
0.012,0.01592781
0.0122,0.01456857
0.0124,0.01323598
0.0126,0.01189469
0.0128,0.009149595
0.013,0.007472507
0.0132,0.006119127
0.0134,0.004256669
0.0136,0.001136753
0.0138,-0.0007841064
0.014,-0.0005797108
0.0142,-0.001582962
0.0144,-0.004404776
0.0146,-0.005951604
0.0148,-0.008015316
0.015,-0.009635822
0.0152,-0.01191786
0.0154,-0.01359322
0.0156,-0.01468759
0.0158,-0.01578661
0.016,-0.01747232
0.0162,-0.01745334
0.0164,-0.0174233
0.0166,-0.01976019
0.0168,-0.02108861
0.017,-0.02132178
0.0172,-0.01969736
0.0174,-0.02077361
